Deph (m),Temperature,Salinity,Oxygen,Oxygen Saturation,AOU,Phosphate,Nitrate,Silicate,Project Scale,Total area (m²),Marine Mammals Collision,Fish & Invertebrates Collision,Sea Bird Collision,Magnetic field,Noise,Sediment Transport change,Water Quality change,Ecosystem Processes change,Installed Capacity (MW),Final Classes
55,11.474,35.449,257.553,96.621,9.113,0.404,4.873,2.231,1,52,2,2,1,1,1,1,1,1,0.2,1
80,11.075,35.464,253.493,94.224,15.591,0.508,6.890,2.760,1,30,2,2,1,1,1,1,1,1,0.2,1
5,13.146,35.407,264.729,102.583,-3.013,0.284,3.484,1.830,2,1980,2,2,1,0,3,1,2,2,0.296,2
50,11.641,35.445,258.647,97.527,6.683,0.400,5.025,2.414,3,60,2,2,1,1,1,1,1,1,0.3,1
7,13.129,35.408,264.660,102.575,-3.001,0.282,3.516,1.890,1,48,1,1,0,1,2,1,1,1,0.0075,1
50,11.641,35.445,258.647,97.527,6.683,0.400,5.025,2.414,2,27000,3,2,1,3,1,3,2,2,1,2
11,13.090,35.411,264.551,102.541,-3.026,0.282,3.570,1.966,1,1600,2,2,0,2,3,2,2,2,1.5,2
6,13.138,35.408,264.695,102.579,-3.007,0.283,3.500,1.860,1,300,1,1,1,2,3,1,1,1,0.2,1
15,13.037,35.412,264.529,102.450,-3.195,0.292,3.590,1.913,1,50,2,2,1,1,1,1,1,1,0.025,1
0,13.186,35.400,264.799,102.668,-3.203,0.273,3.765,1.905,3,1700,3,3,2,2,3,1,1,1,112,3
45,11.838,35.439,259.859,98.394,4.405,0.374,4.660,2.282,2,1000,2,2,1,2,1,1,1,1,1,2
26,12.744,35.418,264.116,101.543,-2.412,0.312,3.860,1.967,1,500,3,2,1,2,2,3,2,2,0.25,2
25,12.787,35.417,264.174,101.665,-2.529,0.310,3.820,1.953,2,20000,3,2,1,3,1,2,2,2,0.72,2
0,13.186,35.400,264.799,102.668,-3.203,0.273,3.765,1.905,2,1200,2,2,2,3,3,1,1,1,4.8,2
0,13.186,35.400,264.799,102.668,-3.203,0.273,3.765,1.905,1,200,0,1,1,0,3,0,1,1,0.4,1
80,11.075,35.464,253.493,94.224,15.591,0.508,6.890,2.760,1,40,1,1,1,1,1,1,1,2,0.03,1
60,11.354,35.452,256.420,96.195,10.233,0.428,5.185,2.395,1,400,2,2,2,2,1,1,1,1,1,2
35,12.320,35.427,262.878,100.372,-0.745,0.339,4.235,2.119,2,8300,3,3,0,2,1,3,2,3,0.4,3
35,12.320,35.427,262.878,100.372,-0.745,0.339,4.235,2.119,2,2000,3,2,0,2,2,3,2,3,1.5,3
55,11.474,35.449,257.553,96.621,9.113,0.404,4.873,2.231,1,200,2,1,0,2,1,2,1,2,1,2
20,12.940,35.415,264.318,102.212,-3.170,0.301,3.718,1.941,2,2000,3,2,0,2,2,1,1,2,0.3,2
35,12.320,35.427,262.878,100.372,-0.745,0.339,4.235,2.119,2,2600,3,2,0,2,2,2,2,2,6,2
15,13.037,35.412,264.529,102.450,-3.195,0.292,3.590,1.913,2,4000,3,2,1,1,1,1,1,2,0.5,1
33,12.421,35.425,263.280,100.646,-1.224,0.332,4.148,2.082,1,300,2,1,0,1,1,2,1,1,0.5,1
20,12.940,35.415,264.318,102.212,-3.170,0.301,3.718,1.941,2,15000,0,3,0,0,0,3,3,3,320,3
60,11.354,35.452,256.420,96.195,10.233,0.428,5.185,2.395,2,11000,3,2,1,3,2,3,3,3,200,3
5,13.146,35.407,264.729,102.583,-3.013,0.284,3.484,1.830,2,500,3,2,1,2,1,3,2,2,0.5,2
55,11.474,35.449,257.553,96.621,9.113,0.404,4.873,2.231,2,10000,3,3,0,3,1,3,2,3,10,3
8,13.121,35.409,264.626,102.572,-2.996,0.281,3.532,1.919,1,100,1,1,1,1,1,2,1,1,0.008,1
5,13.146,35.407,264.729,102.583,-3.013,0.284,3.484,1.830,2,5000,3,3,2,2,1,3,2,2,1.05,2
14,13.051,35.412,264.535,102.473,-3.153,0.290,3.585,1.926,1,1000,2,1,2,1,1,1,1,1,0.28,1
18,12.979,35.414,264.402,102.307,-3.180,0.297,3.667,1.930,1,100,2,1,1,2,1,2,1,1,0.75,1
30,12.574,35.421,263.884,101.057,-1.942,0.320,4.018,2.026,2,2000,3,2,2,3,2,3,3,3,30,3
60,11.354,35.452,256.420,96.195,10.233,0.428,5.185,2.395,2,50000,3,1,0,3,2,3,3,3,456,3
30,12.574,35.421,263.884,101.057,-1.942,0.320,4.018,2.026,2,10000,3,2,0,3,2,3,2,3,100,3
25,12.787,35.417,264.174,101.665,-2.529,0.310,3.820,1.953,2,10000,3,2,0,3,2,3,2,3,100,3
24,12.817,35.417,264.203,101.774,-2.657,0.308,3.800,1.950,1,6000,2,1,1,2,1,2,1,2,1.2,2
0,13.186,35.400,264.799,102.668,-3.203,0.273,3.765,1.905,2,750,0,3,0,0,2,3,3,3,240,3
